[21/01/2020 0:34:13] --> GM: Jager_268477835, Target: [Jager], Action: [admin_admin], Params: [] 
[21/01/2020 0:34:28] --> GM: Jager_268477835, Target: [Jager], Action: [admin_fullfood], Params: [] 
[21/01/2020 0:34:45] --> GM: Jager_268477835, Target: [Jager], Action: [admin_edit_character], Params: [] 
[21/01/2020 0:35:15] --> GM: Jager_268477835, Target: [Jager], Action: [admin_setcolor], Params: [ Pink] 
[21/01/2020 0:35:29] --> GM: Jager_268477835, Target: [Jager], Action: [admin_admin], Params: [] 
[21/01/2020 0:35:37] --> GM: Jager_268477835, Target: [Jager], Action: [admin_admin2], Params: [] 
[21/01/2020 0:35:41] --> GM: Jager_268477835, Target: [Jager], Action: [admin_admin2], Params: [] 
[21/01/2020 0:35:42] --> GM: Jager_268477835, Target: [Jager], Action: [admin_admin], Params: [] 
[21/01/2020 0:35:59] --> GM: Jager_268477835, Target: [Jager], Action: [admin_admin2], Params: [] 
[21/01/2020 0:36:13] --> GM: Jager_268477835, Target: [Jager], Action: [admin_char_manage], Params: [] 
[21/01/2020 0:36:45] --> GM: Jager_268477835, Target: [Jager], Action: [admin_teleport_character_to_menu], Params: [ -84318 244579 -3730] 
[21/01/2020 0:36:46] --> GM: Jager_268477835, Target: [Jager], Action: [admin_teleport_character_to_menu], Params: [ -84318 244579 -3730] 
[21/01/2020 0:36:48] --> GM: Jager_268477835, Target: [Jager], Action: [admin_teleport_character_to_menu], Params: [ -84318 244579 -3730] 
[21/01/2020 0:36:56] --> GM: Jager_268477835, Target: [Jager], Action: [admin_recall_clan_menu], Params: [] 
[21/01/2020 0:37:10] --> GM: Jager_268477835, Target: [Jager], Action: [admin_admin], Params: [] 
[21/01/2020 0:38:17] --> GM: Jager_268477835, Target: [Jager], Action: [admin_admin], Params: [] 
[21/01/2020 0:38:23] --> GM: Jager_268477835, Target: [Jager], Action: [admin_move_to], Params: [] 
[21/01/2020 0:38:25] --> GM: Jager_268477835, Target: [Jager], Action: [admin_help], Params: [ tele/locations/interlude.htm] 
[21/01/2020 0:38:30] --> GM: Jager_268477835, Target: [Jager], Action: [admin_move_to], Params: [ 6229 -2924 -2965] 
[21/01/2020 0:39:09] --> GM: Jager_268477835, Target: [no-target], Action: [admin_admin], Params: [] 
[21/01/2020 0:39:52] --> GM: Jager_268477835, Target: [Jager], Action: [admin_admin2], Params: [] 
[21/01/2020 0:40:00] --> GM: Jager_268477835, Target: [Jager], Action: [admin_manualhero], Params: [] 
[21/01/2020 0:40:08] --> GM: Jager_268477835, Target: [Jager], Action: [admin_admin], Params: [] 
[21/01/2020 0:40:13] --> GM: Jager_268477835, Target: [Jager], Action: [admin_ride_strider], Params: [] 
[21/01/2020 0:40:32] --> GM: Jager_268477835, Target: [Jager], Action: [admin_admin], Params: [] 
[21/01/2020 0:40:37] --> GM: Jager_268477835, Target: [Jager], Action: [admin_admin2], Params: [] 
[21/01/2020 0:40:45] --> GM: Jager_268477835, Target: [Jager], Action: [admin_char_manage], Params: [] 
[21/01/2020 0:40:54] --> GM: Jager_268477835, Target: [Jager], Action: [admin_admin], Params: [] 
[21/01/2020 0:40:56] --> GM: Jager_268477835, Target: [Jager], Action: [admin_admin3], Params: [] 
[21/01/2020 0:41:05] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [] 
[21/01/2020 0:41:10] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 2000] 
[21/01/2020 0:41:40] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 100000] 
[21/01/2020 0:41:43] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 100000] 
[21/01/2020 0:41:45] --> GM: Jager_268477835, Target: [Jager], Action: [admin_abnormal_menu], Params: [ 2000] 
