[21/01/2020 0:16:43] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin], Params: [] 
[21/01/2020 0:19:50] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_edit_character], Params: [] 
[21/01/2020 0:20:01] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin], Params: [] 
[21/01/2020 0:20:06] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin3], Params: [] 
[21/01/2020 0:20:12] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_earthquake_menu], Params: [] 
[21/01/2020 0:20:17] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_atmosphere_menu], Params: [ sky day] 
[21/01/2020 0:20:18] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_atmosphere_menu], Params: [ sky night] 
[21/01/2020 0:20:20] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_atmosphere_menu], Params: [ signsky dawn] 
[21/01/2020 0:20:21] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_atmosphere_menu], Params: [ signsky dusk] 
[21/01/2020 0:20:23] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_atmosphere_menu], Params: [ sky red] 
[21/01/2020 0:20:24] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_shrinkhead], Params: [] 
[21/01/2020 0:20:36] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin], Params: [] 
[21/01/2020 0:20:45] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin3], Params: [] 
[21/01/2020 0:20:46] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_atmosphere_menu], Params: [ sky night] 
[21/01/2020 0:20:47] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_atmosphere_menu], Params: [ signsky dawn] 
[21/01/2020 0:20:48] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_atmosphere_menu], Params: [ signsky dusk] 
[21/01/2020 0:20:52] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin3], Params: [] 
[21/01/2020 0:20:53] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin2], Params: [] 
[21/01/2020 0:20:57] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin], Params: [] 
[21/01/2020 0:21:02] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_list_spawns], Params: [] 
[21/01/2020 0:23:08] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin], Params: [] 
[21/01/2020 0:23:29] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_gmspeed 5], Params: [] 
[21/01/2020 0:23:53] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_gmspeed 5], Params: [] 
[21/01/2020 0:24:10] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_spawn_monster], Params: [] 
[21/01/2020 0:24:14] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin], Params: [] 
[21/01/2020 0:24:17] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_ride_wyvern], Params: [] 
[21/01/2020 0:25:00] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin], Params: [] 
[21/01/2020 0:25:03] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_ride_strider], Params: [] 
[21/01/2020 0:25:10] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin], Params: [] 
[21/01/2020 0:25:12] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_ride_wyvern], Params: [] 
[21/01/2020 0:25:16] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin], Params: [] 
[21/01/2020 0:25:31] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_ride_strider], Params: [] 
[21/01/2020 0:25:41] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin], Params: [] 
[21/01/2020 0:25:45] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_list_spawns], Params: [] 
[21/01/2020 0:25:51] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_admin], Params: [] 
[21/01/2020 0:26:01] --> GM: Balauru_268477770, Target: [Balauru], Action: [admin_kill_menu], Params: [] 
[21/01/2020 0:26:35] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_admin], Params: [] 
[21/01/2020 0:26:41] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_gmchat_menu], Params: [] 
[21/01/2020 0:26:54] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_admin2], Params: [] 
[21/01/2020 0:26:57] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_char_manage], Params: [] 
[21/01/2020 0:27:19] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_jail], Params: [] 
[21/01/2020 0:27:37] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_jail jager], Params: [] 
[21/01/2020 0:28:08] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_unjail fager], Params: [] 
[21/01/2020 0:28:20] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_unjail Jager], Params: [] 
[21/01/2020 0:28:31] --> GM: Balauru_268477770, Target: [no-target], Action: [admin_admin], Params: [] 
