[31/10/2021 00:15:43,344] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[31/10/2021 00:15:46,044] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_move_to], Params: []
[31/10/2021 00:15:47,047] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ tele/towns.htm]
[31/10/2021 00:15:49,768] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ tele/towns/dion.htm]
[31/10/2021 00:16:04,145] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_move_to], Params: [ 18748 145437 -3132]
[31/10/2021 00:16:09,434] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[31/10/2021 00:16:10,941] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[31/10/2021 00:16:13,287] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 3001]
[31/10/2021 00:16:56,408] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[31/10/2021 00:17:06,892] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/pets.htm]
[31/10/2021 00:17:07,771] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 3003]
[31/10/2021 00:17:17,794] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[31/10/2021 00:17:23,962] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 300511]
[31/10/2021 00:17:38,397] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[31/10/2021 00:17:43,696] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Weapons.htm]
[31/10/2021 00:17:45,371] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/dgradew.htm]
[31/10/2021 00:17:46,948] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9013]
[31/10/2021 00:18:07,620] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[31/10/2021 00:18:12,121] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[31/10/2021 00:18:32,014] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin2], Params: []
[31/10/2021 00:18:39,690] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[31/10/2021 00:18:55,848] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin2], Params: []
[31/10/2021 00:19:02,813] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin3], Params: []
[31/10/2021 00:19:04,487] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin4], Params: []
[31/10/2021 00:19:07,562] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[31/10/2021 00:19:08,900] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[31/10/2021 00:19:27,672] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_enchant], Params: []
[31/10/2021 00:19:34,724] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_setew], Params: [ 32]
[31/10/2021 00:19:55,395] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[31/10/2021 00:20:00,151] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/pets.htm]
[31/10/2021 00:20:03,041] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 3003]
[31/10/2021 00:20:20,468] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[31/10/2021 00:20:23,297] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Dyes.htm]
[31/10/2021 00:20:25,978] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 300526]
[31/10/2021 00:20:35,985] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[31/10/2021 00:20:37,734] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Dyes.htm]
[31/10/2021 00:20:38,655] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9128]
[31/10/2021 13:09:02,863] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[31/10/2021 13:09:04,285] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_create_item], Params: []
[31/10/2021 13:09:18,072] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_create_item], Params: [ 72618 1]
[31/10/2021 13:11:19,555] '---': GM: Jager(268477835), Target: [Ol Mahum Ranger], Command: [admin_gmshop], Params: []
[31/10/2021 13:11:21,711] '---': GM: Jager(268477835), Target: [Ol Mahum Ranger], Command: [admin_help], Params: [ gmshop/pets.htm]
[31/10/2021 13:11:24,662] '---': GM: Jager(268477835), Target: [Ol Mahum Ranger], Command: [admin_buy], Params: [ 3003]
[31/10/2021 13:11:33,511] '---': GM: Jager(268477835), Target: [Ol Mahum Ranger], Command: [admin_gmshop], Params: []
[31/10/2021 13:11:40,146] '---': GM: Jager(268477835), Target: [Ol Mahum Ranger], Command: [admin_buy], Params: [ 3002]
[31/10/2021 13:39:58,150] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[31/10/2021 13:40:00,646] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_create_item], Params: []
[31/10/2021 13:40:15,027] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_create_item], Params: [ 72618 1]
[31/10/2021 13:40:56,871] '---': GM: Jager(268477835), Target: [null], Command: [admin_admin], Params: []
[31/10/2021 13:40:58,406] '---': GM: Jager(268477835), Target: [null], Command: [admin_move_to], Params: []
[31/10/2021 13:41:02,644] '---': GM: Jager(268477835), Target: [null], Command: [admin_help], Params: [ tele/towns.htm]
[31/10/2021 13:41:14,187] '---': GM: Jager(268477835), Target: [null], Command: [admin_help], Params: [ tele/towns/ti_starting.htm]
[31/10/2021 13:41:22,677] '---': GM: Jager(268477835), Target: [null], Command: [admin_help], Params: [ tele/towns.htm]
[31/10/2021 13:41:28,151] '---': GM: Jager(268477835), Target: [null], Command: [admin_show_moves], Params: []
[31/10/2021 13:41:32,382] '---': GM: Jager(268477835), Target: [null], Command: [admin_help], Params: [ tele/other.htm]
[31/10/2021 13:41:46,142] '---': GM: Jager(268477835), Target: [null], Command: [admin_help], Params: [ tele/others/goodies.htm]
[31/10/2021 13:41:56,960] '---': GM: Jager(268477835), Target: [null], Command: [admin_help], Params: [ tele/other.htm]
[31/10/2021 13:41:57,462] '---': GM: Jager(268477835), Target: [null], Command: [admin_show_moves], Params: []
[31/10/2021 13:42:02,152] '---': GM: Jager(268477835), Target: [null], Command: [admin_help], Params: [ tele/towns.htm]
[31/10/2021 13:42:04,955] '---': GM: Jager(268477835), Target: [null], Command: [admin_help], Params: [ tele/towns/ti_starting.htm]
[31/10/2021 13:42:11,388] '---': GM: Jager(268477835), Target: [null], Command: [admin_move_to], Params: [ -82687 243157 -3734]
[31/10/2021 13:42:23,745] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[31/10/2021 13:42:27,840] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/pets.htm]
[31/10/2021 13:42:29,431] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 3003]
[31/10/2021 22:08:35,852] '---': GM: Jager(268477835), Target: [null], Command: [admin_gmshop], Params: []
[31/10/2021 22:08:39,202] '---': GM: Jager(268477835), Target: [null], Command: [admin_help], Params: [ gmshop/pets.htm]
[31/10/2021 22:08:42,051] '---': GM: Jager(268477835), Target: [null], Command: [admin_buy], Params: [ 3003]
[31/10/2021 22:12:41,098] '---': GM: Jager(268477835), Target: [null], Command: [admin_admin], Params: []
[31/10/2021 22:12:45,235] '---': GM: Jager(268477835), Target: [null], Command: [admin_admin2], Params: []
[31/10/2021 22:13:02,297] '---': GM: Jager(268477835), Target: [null], Command: [admin_char_manage], Params: []
[31/10/2021 22:13:06,502] '---': GM: Jager(268477835), Target: [null], Command: [admin_admin2], Params: []
[31/10/2021 22:13:07,715] '---': GM: Jager(268477835), Target: [null], Command: [admin_admin], Params: []
[31/10/2021 22:13:20,705] '---': GM: Jager(268477835), Target: [null], Command: [admin_list_spawns], Params: [ 1]
[31/10/2021 22:13:29,620] '---': GM: Jager(268477835), Target: [null], Command: [admin_admin], Params: []
[31/10/2021 22:13:39,647] '---': GM: Jager(268477835), Target: [null], Command: [admin_repair], Params: []
[31/10/2021 22:15:59,790] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[31/10/2021 22:16:01,339] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/pets.htm]
[31/10/2021 22:16:02,403] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 3003]
[31/10/2021 22:44:11,247] '---': GM: Jager(268477835), Target: [Elder Keltir], Command: [admin_admin], Params: []
[31/10/2021 22:44:16,357] '---': GM: Jager(268477835), Target: [Elder Keltir], Command: [admin_move_to], Params: []
[31/10/2021 22:44:18,137] '---': GM: Jager(268477835), Target: [Elder Keltir], Command: [admin_help], Params: [ tele/towns.htm]
[31/10/2021 22:44:19,770] '---': GM: Jager(268477835), Target: [Elder Keltir], Command: [admin_help], Params: [ tele/towns/giran.htm]
[31/10/2021 22:44:23,475] '---': GM: Jager(268477835), Target: [Elder Keltir], Command: [admin_move_to], Params: [ 82698 148638 -3473]
[31/10/2021 22:46:48,218] '---': GM: Jager(268477835), Target: [Domain], Command: [admin_gmshop], Params: []
[31/10/2021 22:46:49,891] '---': GM: Jager(268477835), Target: [Domain], Command: [admin_help], Params: [ gmshop/Weapons.htm]
[31/10/2021 22:46:52,780] '---': GM: Jager(268477835), Target: [Domain], Command: [admin_help], Params: [ gmshop/nogradew.htm]
[31/10/2021 22:46:55,185] '---': GM: Jager(268477835), Target: [Domain], Command: [admin_buy], Params: [ 9001]
[31/10/2021 22:48:13,591] '---': GM: Jager(268477835), Target: [null], Command: [admin_gmshop], Params: []
[31/10/2021 22:48:16,858] '---': GM: Jager(268477835), Target: [null], Command: [admin_help], Params: [ gmshop/Weapons.htm]
[31/10/2021 22:48:18,722] '---': GM: Jager(268477835), Target: [null], Command: [admin_help], Params: [ gmshop/bgradew.htm]
[31/10/2021 22:48:19,840] '---': GM: Jager(268477835), Target: [null], Command: [admin_buy], Params: [ 9027]
[31/10/2021 23:04:47,475] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[31/10/2021 23:04:51,814] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Weapons.htm]
[31/10/2021 23:04:54,508] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/bgradew.htm]
[31/10/2021 23:05:00,076] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshops.htm]
[31/10/2021 23:05:02,190] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Armors.htm]
[31/10/2021 23:05:04,076] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/bgradea.htm]
[31/10/2021 23:05:06,796] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9078]
