[02/11/2021 00:31:15,301] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[02/11/2021 00:31:18,043] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[02/11/2021 00:31:32,670] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 300511]
[02/11/2021 17:45:05,458] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[02/11/2021 17:45:08,138] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_move_to], Params: []
[02/11/2021 17:45:10,187] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ tele/towns.htm]
[02/11/2021 17:45:13,640] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ tele/towns/ti_starting.htm]
[02/11/2021 17:45:20,233] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_move_to], Params: [ -82687 243157 -3734]
[02/11/2021 17:45:48,179] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[02/11/2021 17:45:50,515] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Weapons.htm]
[02/11/2021 17:45:51,603] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/nogradew.htm]
[02/11/2021 17:46:07,104] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9008]
[02/11/2021 17:46:29,034] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[02/11/2021 17:46:36,000] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[02/11/2021 17:46:37,653] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Weapons.htm]
[02/11/2021 17:46:43,732] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/nogradew.htm]
[02/11/2021 17:46:45,468] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9001]
[02/11/2021 17:47:11,420] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[02/11/2021 17:47:14,062] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[02/11/2021 17:47:15,345] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Weapons.htm]
[02/11/2021 17:47:16,391] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/nogradew.htm]
[02/11/2021 17:47:22,169] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9007]
[02/11/2021 17:47:37,029] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[02/11/2021 17:47:38,473] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_move_to], Params: []
[02/11/2021 17:47:40,233] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ tele/towns.htm]
[02/11/2021 17:47:42,137] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ tele/towns/dion.htm]
[02/11/2021 17:47:44,649] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_move_to], Params: [ 18087 144594 -3051]
[02/11/2021 17:50:40,886] '---': GM: Jager(268477835), Target: [Lara], Command: [admin_admin], Params: []
[02/11/2021 17:50:42,664] '---': GM: Jager(268477835), Target: [Lara], Command: [admin_move_to], Params: []
[02/11/2021 17:50:44,398] '---': GM: Jager(268477835), Target: [Lara], Command: [admin_help], Params: [ tele/towns.htm]
[02/11/2021 17:50:47,078] '---': GM: Jager(268477835), Target: [Lara], Command: [admin_help], Params: [ tele/towns/ti_starting.htm]
[02/11/2021 17:50:55,962] '---': GM: Jager(268477835), Target: [Lara], Command: [admin_move_to], Params: [ -82687 243157 -3734]
[02/11/2021 17:51:51,088] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[02/11/2021 17:51:53,000] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/pets.htm]
[02/11/2021 17:51:54,946] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 3003]
[02/11/2021 17:52:43,439] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[02/11/2021 17:52:44,695] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[02/11/2021 17:52:45,238] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[02/11/2021 17:52:56,689] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Jewels.htm]
[02/11/2021 17:52:57,899] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9108]
[02/11/2021 17:53:39,761] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[02/11/2021 17:53:42,437] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_create_item], Params: []
[02/11/2021 17:54:09,887] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_create_item], Params: [ 72618 1]
[02/11/2021 17:54:30,358] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[02/11/2021 17:54:46,107] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[02/11/2021 17:54:52,319] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 3001]
[02/11/2021 17:57:00,111] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[02/11/2021 17:57:05,912] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[02/11/2021 17:57:07,962] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Weapons.htm]
[02/11/2021 17:57:09,993] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/bgradew.htm]
[02/11/2021 17:57:17,618] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9027]
[02/11/2021 17:57:30,404] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[02/11/2021 17:57:35,937] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Armors.htm]
[02/11/2021 17:57:37,424] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/bgradea.htm]
[02/11/2021 17:57:41,299] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9074]
[02/11/2021 17:57:58,980] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[02/11/2021 17:58:12,738] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_enchant], Params: []
[02/11/2021 17:58:19,772] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_setew], Params: [ 32]
[02/11/2021 17:58:51,427] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_setec], Params: [ 32]
[02/11/2021 18:00:05,481] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_gmshop], Params: []
