[13/03/2020 13:28:07,987] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[13/03/2020 13:28:09,689] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_move_to], Params: []
[13/03/2020 13:28:11,725] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ tele/towns.htm]
[13/03/2020 13:28:17,116] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ tele/towns/ti_starting.htm]
[13/03/2020 13:28:18,800] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_move_to], Params: [ -82687 243157 -3734]
[13/03/2020 13:37:10,044] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[13/03/2020 13:37:11,720] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Weapons.htm]
[13/03/2020 13:37:12,779] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/nogradew.htm]
[13/03/2020 13:37:42,606] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9002]
[13/03/2020 13:37:54,613] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[13/03/2020 13:37:56,521] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[13/03/2020 13:37:58,327] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Weapons.htm]
[13/03/2020 13:38:00,054] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/nogradew.htm]
[13/03/2020 13:38:08,877] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9003]
[13/03/2020 13:38:57,093] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[13/03/2020 13:38:59,011] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Armors.htm]
[13/03/2020 13:38:59,847] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/nogradea.htm]
[13/03/2020 13:39:01,361] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9099]
[13/03/2020 13:39:09,635] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[13/03/2020 13:39:13,143] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Armors.htm]
[13/03/2020 13:39:14,052] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/nogradea.htm]
[13/03/2020 13:39:15,016] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9100]
[13/03/2020 13:40:19,208] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[13/03/2020 13:40:22,139] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Armors.htm]
[13/03/2020 13:40:23,159] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/nogradea.htm]
[13/03/2020 13:40:26,681] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9101]
[13/03/2020 13:40:45,118] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[13/03/2020 13:40:46,805] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Armors.htm]
[13/03/2020 13:40:47,534] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/nogradea.htm]
[13/03/2020 13:40:49,372] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9102]
[13/03/2020 13:41:13,363] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[13/03/2020 13:41:15,004] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Armors.htm]
[13/03/2020 13:41:16,183] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/nogradea.htm]
[13/03/2020 13:41:18,034] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9103]
[13/03/2020 13:42:10,012] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[13/03/2020 13:42:11,528] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Armors.htm]
[13/03/2020 13:42:12,539] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/nogradea.htm]
[13/03/2020 13:42:16,286] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9104]
[13/03/2020 13:43:06,243] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[13/03/2020 13:43:07,548] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Armors.htm]
[13/03/2020 13:43:08,203] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/nogradea.htm]
[13/03/2020 13:43:10,751] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9104]
[13/03/2020 13:43:58,417] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[13/03/2020 13:44:00,514] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[13/03/2020 13:44:04,373] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Armors.htm]
[13/03/2020 13:44:05,343] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/nogradea.htm]
[13/03/2020 13:44:07,670] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9104]
[13/03/2020 13:44:45,919] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[13/03/2020 13:44:49,355] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 300511]
[13/03/2020 13:45:04,854] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[13/03/2020 13:45:11,508] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 3001]
[13/03/2020 13:46:27,975] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[13/03/2020 13:46:30,089] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Jewels.htm]
[13/03/2020 13:46:31,015] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9108]
[13/03/2020 15:23:06,276] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[13/03/2020 15:23:09,556] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_find_character], Params: []
[13/03/2020 15:23:11,085] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_character_info], Params: [ Spartacus]
[13/03/2020 15:23:12,630] '---': GM: Jager(268477835), Target: [Spartacus], Command: [admin_goto_char_menu], Params: [ Spartacus]
[13/03/2020 15:23:23,973] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[13/03/2020 15:23:25,876] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Weapons.htm]
[13/03/2020 15:23:26,937] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/dgradew.htm]
[13/03/2020 15:23:29,141] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9015]
[13/03/2020 15:23:54,670] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[13/03/2020 15:23:57,655] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Armors.htm]
[13/03/2020 15:23:58,871] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/dgradea.htm]
[13/03/2020 15:24:00,283] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9090]
[13/03/2020 15:24:08,474] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[13/03/2020 15:24:11,471] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_create_item], Params: []
[13/03/2020 15:24:14,511] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[13/03/2020 15:24:17,123] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[13/03/2020 15:24:18,876] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Armors.htm]
[13/03/2020 15:24:21,216] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/dgradea.htm]
[13/03/2020 15:24:22,097] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9091]
[13/03/2020 15:24:47,497] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[13/03/2020 15:24:48,890] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Armors.htm]
[13/03/2020 15:24:49,986] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/dgradea.htm]
[13/03/2020 15:24:53,052] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9093]
[13/03/2020 15:26:05,326] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[13/03/2020 15:26:10,495] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[13/03/2020 15:26:12,437] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Armors.htm]
[13/03/2020 15:26:13,631] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/dgradea.htm]
[13/03/2020 15:26:15,856] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9094]
[13/03/2020 15:26:43,222] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[13/03/2020 15:26:45,064] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Armors.htm]
[13/03/2020 15:26:46,144] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/dgradea.htm]
[13/03/2020 15:26:48,164] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9095]
[13/03/2020 15:27:02,828] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[13/03/2020 15:27:04,053] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Jewels.htm]
[13/03/2020 15:27:05,498] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9109]
[13/03/2020 15:28:24,154] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[13/03/2020 15:28:26,285] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 300511]
[13/03/2020 15:29:37,753] '---': GM: Jager(268477835), Target: [Spartacus], Command: [admin_admin], Params: []
[13/03/2020 15:29:40,287] '---': GM: Jager(268477835), Target: [Spartacus], Command: [admin_enchant], Params: []
[13/03/2020 15:29:52,102] '---': GM: Jager(268477835), Target: [Spartacus], Command: [admin_seteh], Params: [ 15]
[13/03/2020 15:29:58,449] '---': GM: Jager(268477835), Target: [Spartacus], Command: [admin_seten], Params: [ 15]
[13/03/2020 15:30:00,838] '---': GM: Jager(268477835), Target: [Spartacus], Command: [admin_setew], Params: [ 15]
[13/03/2020 15:30:03,464] '---': GM: Jager(268477835), Target: [Spartacus], Command: [admin_setec], Params: [ 15]
[13/03/2020 15:30:05,322] '---': GM: Jager(268477835), Target: [Spartacus], Command: [admin_setes], Params: [ 15]
[13/03/2020 15:30:07,985] '---': GM: Jager(268477835), Target: [Spartacus], Command: [admin_setre], Params: [ 15]
[13/03/2020 15:30:09,918] '---': GM: Jager(268477835), Target: [Spartacus], Command: [admin_setle], Params: [ 15]
[13/03/2020 15:30:12,395] '---': GM: Jager(268477835), Target: [Spartacus], Command: [admin_seteg], Params: [ 15]
[13/03/2020 15:30:14,135] '---': GM: Jager(268477835), Target: [Spartacus], Command: [admin_setel], Params: [ 15]
[13/03/2020 15:30:15,747] '---': GM: Jager(268477835), Target: [Spartacus], Command: [admin_seteb], Params: [ 15]
[13/03/2020 15:30:17,399] '---': GM: Jager(268477835), Target: [Spartacus], Command: [admin_setrf], Params: [ 15]
[13/03/2020 15:30:19,710] '---': GM: Jager(268477835), Target: [Spartacus], Command: [admin_setlf], Params: [ 15]
[13/03/2020 15:30:21,930] '---': GM: Jager(268477835), Target: [Spartacus], Command: [admin_seten], Params: [ 15]
