[19/02/2020 14:03:36,615] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[19/02/2020 14:03:37,725] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_move_to], Params: []
[19/02/2020 14:03:38,525] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_help], Params: [ tele/towns.htm]
[19/02/2020 14:03:39,917] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_help], Params: [ tele/towns/giran.htm]
[19/02/2020 14:03:40,573] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_move_to], Params: [ 82698 148638 -3473]
[19/02/2020 14:06:30,086] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_admin], Params: []
[19/02/2020 14:06:34,333] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_admin2], Params: []
[19/02/2020 14:06:35,363] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_admin], Params: []
[19/02/2020 14:06:36,371] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_admin2], Params: []
[19/02/2020 14:06:41,546] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_admin], Params: []
[19/02/2020 14:06:44,096] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_spawn_monster], Params: []
[19/02/2020 14:06:49,765] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_spawn_monster], Params: [ baium]
[19/02/2020 14:07:09,468] '---': GM: Arcane(268477770), Target: [Baium], Command: [admin_show_droplist], Params: [ 29020]
[19/02/2020 14:07:30,501] '---': GM: Arcane(268477770), Target: [Baium], Command: [admin_delete], Params: []
[19/02/2020 14:09:39,390] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_admin], Params: []
[19/02/2020 14:09:42,456] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_enchant], Params: []
[19/02/2020 14:09:49,435] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_setew], Params: [ 6]
[19/02/2020 14:09:56,362] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_setew], Params: [ 16]
[19/02/2020 20:58:40,499] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[19/02/2020 20:58:41,609] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_move_to], Params: []
[19/02/2020 20:58:42,472] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_help], Params: [ tele/towns.htm]
[19/02/2020 20:58:43,746] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_help], Params: [ tele/towns/giran.htm]
[19/02/2020 20:58:44,611] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_move_to], Params: [ 82698 148638 -3473]
[19/02/2020 20:59:37,408] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[19/02/2020 20:59:39,611] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn_monster], Params: []
[19/02/2020 20:59:44,344] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn_monster], Params: [ bathis]
[19/02/2020 21:00:03,334] '---': GM: Arcane(268477770), Target: [Bathis], Command: [admin_delete], Params: []
[19/02/2020 21:01:16,340] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[19/02/2020 21:01:19,470] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn_monster], Params: []
[19/02/2020 21:01:24,701] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn_monster], Params: [ LINDVIOR]
[19/02/2020 21:01:26,674] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[19/02/2020 21:01:28,111] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn_monster], Params: []
[19/02/2020 21:01:35,298] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn_monster], Params: [ lindvior]
[19/02/2020 21:03:46,115] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[19/02/2020 21:03:47,819] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn_monster], Params: []
[19/02/2020 21:03:55,361] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn_monster], Params: [ kamaloka]
[19/02/2020 21:08:07,607] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[19/02/2020 21:08:10,053] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn_monster], Params: []
[19/02/2020 21:08:22,705] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn_monster], Params: [ Kamaloka]
[19/02/2020 21:09:39,064] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[19/02/2020 21:09:40,540] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn_monster], Params: []
[19/02/2020 21:09:42,855] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_help], Params: [ spawn.htm]
[19/02/2020 21:09:46,342] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn_reload], Params: []
[19/02/2020 21:09:48,500] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_help], Params: [ spawn.htm]
[19/02/2020 21:09:53,063] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn_once], Params: []
[19/02/2020 21:09:58,215] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_show_npcs], Params: []
[19/02/2020 21:10:01,983] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_npc_index], Params: [ K]
[19/02/2020 21:10:20,908] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_show_npcs], Params: []
[19/02/2020 21:10:46,344] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn_monster], Params: [ Kamaloka_Manager]
[19/02/2020 21:11:12,149] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[19/02/2020 21:11:14,556] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn_monster], Params: []
[19/02/2020 21:11:16,841] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_show_npcs], Params: []
[19/02/2020 21:11:24,039] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn_monster], Params: [ Lindvior]
[19/02/2020 21:11:26,386] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[19/02/2020 21:11:27,864] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn_monster], Params: []
[19/02/2020 21:11:28,764] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_show_npcs], Params: []
[19/02/2020 21:11:39,205] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn_monster], Params: [ Kamaloka_Manager]
[19/02/2020 21:11:42,684] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[19/02/2020 21:11:45,358] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn_monster], Params: []
[19/02/2020 21:11:46,742] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_show_npcs], Params: []
[19/02/2020 21:11:48,986] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_npc_index], Params: [ A]
[19/02/2020 21:11:58,413] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn_monster], Params: [ 32051]
[19/02/2020 21:12:11,319] '---': GM: Arcane(268477770), Target: [Altar Gatekeeper], Command: [admin_delete], Params: []
[19/02/2020 21:12:12,449] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[19/02/2020 21:12:14,112] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn_monster], Params: []
[19/02/2020 21:12:14,933] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_show_npcs], Params: []
[19/02/2020 21:12:21,676] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_npc_index], Params: [ M]
[19/02/2020 21:12:26,029] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn_monster], Params: [ 35600]
[19/02/2020 21:12:34,797] '---': GM: Arcane(268477770), Target: [Manager], Command: [admin_delete], Params: []
[19/02/2020 21:12:35,988] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[19/02/2020 21:12:37,236] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn_monster], Params: []
[19/02/2020 21:12:38,178] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_show_npcs], Params: []
[19/02/2020 21:12:42,191] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_npc_index], Params: [ M]
[19/02/2020 21:12:56,993] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn_monster], Params: [ 32114]
[19/02/2020 21:13:20,141] '---': GM: Arcane(268477770), Target: [Mushika], Command: [admin_delete], Params: []
[19/02/2020 21:13:21,479] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[19/02/2020 21:13:23,059] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn_monster], Params: []
[19/02/2020 21:13:23,714] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_show_npcs], Params: []
[19/02/2020 21:13:31,499] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_npc_index], Params: [ K]
[19/02/2020 21:50:31,338] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_admin], Params: []
[19/02/2020 21:50:33,702] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_create_item], Params: []
[19/02/2020 21:50:41,077] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_create_item], Params: [ 57 2000000000]
[19/02/2020 22:20:43,830] '---': GM: Arcane(268477770), Target: [Adventure Guildsman], Command: [admin_admin], Params: []
[19/02/2020 22:20:45,758] '---': GM: Arcane(268477770), Target: [Adventure Guildsman], Command: [admin_admin4], Params: []
[19/02/2020 22:20:47,986] '---': GM: Arcane(268477770), Target: [Adventure Guildsman], Command: [admin_admin5], Params: []
[19/02/2020 22:20:49,566] '---': GM: Arcane(268477770), Target: [Adventure Guildsman], Command: [admin_admin4], Params: []
[19/02/2020 22:20:55,517] '---': GM: Arcane(268477770), Target: [Adventure Guildsman], Command: [admin_admin3], Params: []
[19/02/2020 22:28:10,025] '---': GM: Arcane(268477770), Target: [Adventure Guildsman], Command: [admin_admin], Params: []
[19/02/2020 22:28:11,275] '---': GM: Arcane(268477770), Target: [Adventure Guildsman], Command: [admin_move_to], Params: []
[19/02/2020 22:28:41,322] '---': GM: Arcane(268477770), Target: [Adventure Guildsman], Command: [admin_move_to], Params: [ 11520 -189632 -4992]
[19/02/2020 22:29:02,484] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[19/02/2020 22:29:04,884] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_ride_wyvern], Params: []
[19/02/2020 22:30:21,619] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[19/02/2020 22:30:22,915] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_move_to], Params: []
[19/02/2020 22:30:23,696] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_help], Params: [ tele/towns.htm]
[19/02/2020 22:30:25,030] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_help], Params: [ tele/towns/giran.htm]
[19/02/2020 22:30:25,687] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_move_to], Params: [ 82698 148638 -3473]
[19/02/2020 22:35:11,319] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[19/02/2020 22:35:12,861] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_move_to], Params: []
[19/02/2020 22:36:03,318] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_move_to], Params: [ -29440 -188928 -4992]
[19/02/2020 22:37:35,315] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[19/02/2020 22:37:36,937] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_move_to], Params: []
[19/02/2020 22:37:37,619] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_help], Params: [ tele/towns.htm]
[19/02/2020 22:37:39,099] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_help], Params: [ tele/towns/giran.htm]
[19/02/2020 22:37:39,818] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_move_to], Params: [ 82698 148638 -3473]
[19/02/2020 22:55:19,474] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[19/02/2020 22:55:21,151] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_move_to], Params: []
[19/02/2020 22:55:24,672] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_help], Params: [ tele/towns.htm]
[19/02/2020 22:56:06,512] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_show_moves], Params: []
[19/02/2020 22:56:08,844] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_help], Params: [ tele/other.htm]
[19/02/2020 22:56:20,371] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[19/02/2020 22:56:21,646] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_move_to], Params: []
[19/02/2020 22:56:25,062] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_help], Params: [ tele/locations/interlude.htm]
[19/02/2020 22:58:34,552] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[19/02/2020 22:58:36,099] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_move_to], Params: []
[19/02/2020 22:58:39,547] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_tele], Params: []
[19/02/2020 22:58:45,049] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_gmspeed_menu], Params: [ 4]
[19/02/2020 22:58:51,448] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin2], Params: []
