[25/03/2020 16:50:28,272] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[25/03/2020 16:50:30,615] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin2], Params: []
[25/03/2020 16:50:32,977] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_fortsiege], Params: []
[25/03/2020 16:50:35,718] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_fortsiege], Params: [ Shanty]
[25/03/2020 16:51:00,497] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_add_fortattacker], Params: [ Shanty]
[25/03/2020 16:51:08,318] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_list_fortsiege_clans], Params: [ Shanty]
[25/03/2020 16:51:15,702] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_admin], Params: []
[25/03/2020 16:51:17,501] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_goto_char_menu], Params: []
[25/03/2020 16:51:18,966] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_admin], Params: []
[25/03/2020 16:51:20,367] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_admin2], Params: []
[25/03/2020 16:51:21,641] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_admin3], Params: []
[25/03/2020 16:51:24,966] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_admin4], Params: []
[25/03/2020 16:51:25,780] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_admin2], Params: []
[25/03/2020 16:51:26,956] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_admin], Params: []
[25/03/2020 16:51:27,912] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_move_to], Params: []
[25/03/2020 16:51:28,869] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_help], Params: [ tele/others/fortress.htm]
[25/03/2020 16:51:29,996] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_move_to], Params: [ -55004 157132 -2050]
[25/03/2020 16:52:33,309] '---': GM: Jager(268477835), Target: [null], Command: [admin_admin], Params: []
[25/03/2020 16:52:35,107] '---': GM: Jager(268477835), Target: [null], Command: [admin_admin2], Params: []
[25/03/2020 16:52:35,757] '---': GM: Jager(268477835), Target: [null], Command: [admin_admin3], Params: []
[25/03/2020 16:52:36,385] '---': GM: Jager(268477835), Target: [null], Command: [admin_admin2], Params: []
[25/03/2020 16:52:37,284] '---': GM: Jager(268477835), Target: [null], Command: [admin_fortsiege], Params: []
[25/03/2020 16:52:38,666] '---': GM: Jager(268477835), Target: [null], Command: [admin_fortsiege], Params: [ Shanty]
[25/03/2020 16:52:45,589] '---': GM: Jager(268477835), Target: [null], Command: [admin_startfortsiege], Params: [ Shanty]
[25/03/2020 16:53:43,606] '---': GM: Jager(268477835), Target: [null], Command: [admin_gmshop], Params: []
[25/03/2020 16:53:46,470] '---': GM: Jager(268477835), Target: [null], Command: [admin_buy], Params: [ 300534]
[25/03/2020 16:58:31,904] '---': GM: Jager(268477835), Target: [null], Command: [admin_admin], Params: []
[25/03/2020 16:58:34,122] '---': GM: Jager(268477835), Target: [null], Command: [admin_move_to], Params: []
[25/03/2020 16:59:49,144] '---': GM: Jager(268477835), Target: [null], Command: [admin_move_to], Params: [ -53054 156605 62001]
[25/03/2020 17:18:39,530] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
