[10/03/2020 21:01:42,195] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[10/03/2020 21:01:43,471] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_create_item], Params: []
[10/03/2020 21:01:45,354] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_searchitem], Params: []
[10/03/2020 21:01:48,654] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_searchitem], Params: [ ; angel ;0]
[10/03/2020 21:01:54,825] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_searchitem], Params: [ ;angel;1]
[10/03/2020 21:02:01,854] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_createForm], Params: [ 9818]
[10/03/2020 21:02:03,827] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_create_item], Params: [ 9818 1]
[10/03/2020 21:02:33,528] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_gmshop], Params: []
[10/03/2020 21:02:35,624] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_help], Params: [ gmshop/Weapons.htm]
[10/03/2020 21:02:37,157] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_help], Params: [ gmshop/sgradew.htm]
[10/03/2020 21:02:41,757] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_buy], Params: [ 9052]
[10/03/2020 21:03:21,382] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_gmshop], Params: []
[10/03/2020 21:03:22,329] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_help], Params: [ gmshop/Weapons.htm]
[10/03/2020 21:03:23,748] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_help], Params: [ gmshop/sgradew.htm]
[10/03/2020 21:03:25,885] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_buy], Params: [ 9052]
[10/03/2020 21:33:15,690] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_admin], Params: []
[10/03/2020 21:33:17,247] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_create_item], Params: []
[10/03/2020 21:33:22,366] '---': GM: Arcane(268477770), Target: [Bernardo], Command: [admin_create_item], Params: [ 9820 1]
