[13/10/2024 00:22:16,663] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[13/10/2024 00:22:19,263] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 3001]
[13/10/2024 00:24:12,991] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_admin], Params: []
[13/10/2024 00:24:16,318] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_enchant], Params: []
[13/10/2024 00:24:23,103] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_setew], Params: [ 128]
[13/10/2024 00:51:28,294] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_admin], Params: []
[13/10/2024 00:51:33,120] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_enchant], Params: []
[13/10/2024 00:51:41,726] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_setew], Params: [ 256]
[13/10/2024 01:13:15,244] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_gmshop], Params: []
[13/10/2024 01:13:18,583] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_admin], Params: []
[13/10/2024 01:13:20,953] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_enchant], Params: []
[13/10/2024 01:13:33,714] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_setew], Params: [ 555]
[13/10/2024 13:12:43,831] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[13/10/2024 13:12:48,885] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_goto_char_menu], Params: []
[13/10/2024 13:12:51,047] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[13/10/2024 13:13:13,339] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_goto_char_menu], Params: [ Seance]
[13/10/2024 13:14:00,161] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_admin2], Params: []
[13/10/2024 13:14:05,663] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_admin], Params: []
[13/10/2024 13:14:09,635] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_enchant], Params: []
[13/10/2024 13:14:30,566] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_setew], Params: [ 4000]
[13/10/2024 13:14:38,883] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_seteh], Params: [ 100]
[13/10/2024 13:14:45,035] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_seten], Params: [ 100]
[13/10/2024 13:14:49,230] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_setec], Params: [ 100]
[13/10/2024 13:14:52,256] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_setes], Params: [ 100]
[13/10/2024 13:14:55,468] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_setre], Params: [ 100]
[13/10/2024 13:14:58,035] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_setle], Params: [ 100]
[13/10/2024 13:15:01,072] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_seteg], Params: [ 100]
[13/10/2024 13:15:03,611] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_setel], Params: [ 100]
[13/10/2024 13:15:05,898] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_seteb], Params: [ 100]
[13/10/2024 13:15:08,082] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_setrf], Params: [ 100]
[13/10/2024 13:15:10,285] '---': GM: Jager(268477835), Target: [Seance], Command: [admin_setlf], Params: [ 100]
[13/10/2024 13:22:38,163] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[13/10/2024 13:22:59,787] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[13/10/2024 13:23:08,328] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_recall_char_menu], Params: [ Seance]
[13/10/2024 13:36:00,368] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[13/10/2024 13:36:06,503] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_open], Params: []
[13/10/2024 13:58:35,176] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[13/10/2024 13:58:52,058] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/QuestItems.htm]
[13/10/2024 13:58:54,805] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 300542]
[13/10/2024 13:59:31,040] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[13/10/2024 13:59:33,057] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/QuestItems.htm]
[13/10/2024 13:59:36,468] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9149]
[13/10/2024 13:59:43,477] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[13/10/2024 13:59:46,344] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/QuestItems.htm]
[13/10/2024 13:59:49,378] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 300541]
[13/10/2024 14:02:17,495] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[13/10/2024 14:02:20,767] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_create_item], Params: []
[13/10/2024 14:02:30,376] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_create_item], Params: [ 4295 10]
