[28/03/2020 10:30:26,438] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[28/03/2020 10:30:30,037] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin2], Params: []
[28/03/2020 10:30:31,206] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[28/03/2020 10:30:32,377] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_move_to], Params: []
[28/03/2020 10:30:33,884] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ tele/others/fortress.htm]
[28/03/2020 10:30:35,057] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_move_to], Params: [ -55004 157132 -2050]
[28/03/2020 10:31:01,524] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[28/03/2020 10:31:05,687] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_admin2], Params: []
[28/03/2020 10:31:06,419] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_fortsiege], Params: []
[28/03/2020 10:31:07,550] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_fortsiege], Params: [ Shanty]
[28/03/2020 10:31:08,993] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_add_fortattacker], Params: [ Shanty]
[28/03/2020 10:31:12,570] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_startfortsiege], Params: [ Shanty]
[28/03/2020 10:31:44,392] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_admin], Params: []
[28/03/2020 10:31:55,525] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_ride_wyvern], Params: []
[28/03/2020 18:08:27,298] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[28/03/2020 18:08:29,453] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_ride_wyvern], Params: []
[28/03/2020 18:08:47,363] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[28/03/2020 18:08:49,142] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_move_to], Params: []
[28/03/2020 18:08:50,712] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ tele/others/fortress.htm]
[28/03/2020 18:08:51,799] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_move_to], Params: [ -55004 157132 -2050]
[28/03/2020 18:09:47,425] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[28/03/2020 18:09:49,036] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin2], Params: []
[28/03/2020 18:09:49,852] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_fortsiege], Params: []
[28/03/2020 18:09:52,508] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_fortsiege], Params: [ Shanty]
[28/03/2020 18:09:53,492] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_add_fortattacker], Params: [ Shanty]
[28/03/2020 18:09:56,984] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_startfortsiege], Params: [ Shanty]
[28/03/2020 22:54:04,021] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[28/03/2020 22:54:07,097] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_move_to], Params: []
[28/03/2020 22:54:08,457] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ tele/others/fortress.htm]
[28/03/2020 22:54:09,355] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_move_to], Params: [ -55004 157132 -2050]
[28/03/2020 22:54:18,124] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_admin], Params: []
[28/03/2020 22:54:19,839] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_admin2], Params: []
[28/03/2020 22:54:20,907] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_fortsiege], Params: []
[28/03/2020 22:54:22,225] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_fortsiege], Params: [ Shanty]
[28/03/2020 22:54:23,835] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_add_fortattacker], Params: [ Shanty]
[28/03/2020 22:54:27,620] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_startfortsiege], Params: [ Shanty]
