[25/02/2020 11:11:31,001] '---': GM: Arcane(268477770), Target: [Event Manager], Command: [admin_admin], Params: []
[25/02/2020 11:11:33,173] '---': GM: Arcane(268477770), Target: [Event Manager], Command: [admin_enchant], Params: []
[25/02/2020 11:11:37,380] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_setew], Params: [ 1]
[25/02/2020 11:11:48,298] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_setew], Params: [ 16]
[25/02/2020 20:12:56,699] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_spawn lucas], Params: []
[25/02/2020 20:13:07,467] '---': GM: Arcane(268477770), Target: [Lucas], Command: [admin_kill], Params: []
[25/02/2020 20:13:16,529] '---': GM: Arcane(268477770), Target: [Lucas], Command: [admin_admin], Params: []
[25/02/2020 20:13:19,072] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_delete], Params: []
[25/02/2020 20:13:32,602] '---': GM: Arcane(268477770), Target: [Lucas], Command: [admin_delete], Params: []
