[17/10/2024 09:26:42,019] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[17/10/2024 09:26:51,144] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_move_to], Params: []
[17/10/2024 09:26:52,353] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ tele/towns.htm]
[17/10/2024 09:27:08,028] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ tele/towns/ti_starting.htm]
[17/10/2024 09:27:09,967] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_move_to], Params: [ -82687 243157 -3734]
[17/10/2024 09:30:54,178] '---': GM: Jager(268477835), Target: [Bearded Keltir], Command: [admin_admin], Params: []
[17/10/2024 09:30:57,093] '---': GM: Jager(268477835), Target: [Bearded Keltir], Command: [admin_admin4], Params: []
[17/10/2024 09:30:59,385] '---': GM: Jager(268477835), Target: [Bearded Keltir], Command: [admin_zone_check], Params: []
[17/10/2024 09:31:03,692] '---': GM: Jager(268477835), Target: [Bearded Keltir], Command: [admin_zone_check], Params: []
[17/10/2024 09:31:05,921] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[17/10/2024 09:31:08,190] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[17/10/2024 09:32:49,395] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[17/10/2024 09:32:51,786] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[17/10/2024 09:32:53,565] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[17/10/2024 09:32:55,063] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[17/10/2024 09:35:49,400] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[17/10/2024 09:35:50,745] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin4], Params: []
[17/10/2024 09:35:54,770] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[17/10/2024 09:35:56,722] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[17/10/2024 09:35:59,590] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[17/10/2024 09:36:04,848] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[17/10/2024 09:36:38,085] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[17/10/2024 09:36:40,892] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[17/10/2024 09:36:45,241] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[17/10/2024 09:48:29,428] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[17/10/2024 09:48:33,110] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin4], Params: []
[17/10/2024 09:48:34,974] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[17/10/2024 09:48:36,973] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[17/10/2024 09:48:38,368] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[17/10/2024 09:48:42,301] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[17/10/2024 09:48:46,171] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[17/10/2024 09:48:52,340] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
