[14/10/2024 21:38:26,060] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gosouth], Params: []
[14/10/2024 21:38:41,637] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_walk], Params: []
[14/10/2024 21:38:49,937] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[14/10/2024 21:39:02,132] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin4], Params: []
[14/10/2024 21:39:08,348] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:39:13,441] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:39:15,731] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:39:19,549] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:39:21,610] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:39:24,752] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:39:29,139] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:39:31,244] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:39:33,072] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:39:39,220] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:39:41,820] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:39:46,992] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:39:49,988] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:39:53,770] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:40:07,935] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[14/10/2024 21:40:12,146] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin4], Params: []
[14/10/2024 21:40:25,735] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_geo_z], Params: []
[14/10/2024 21:40:36,599] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[14/10/2024 21:40:38,139] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin4], Params: []
[14/10/2024 21:40:41,993] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_geo_type], Params: []
[14/10/2024 21:40:49,069] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[14/10/2024 21:40:49,984] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin4], Params: []
[14/10/2024 21:40:57,697] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_geo_nswe], Params: []
[14/10/2024 21:41:03,237] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[14/10/2024 21:41:05,107] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin4], Params: []
[14/10/2024 21:41:07,052] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_geo_los], Params: []
[14/10/2024 21:41:11,052] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[14/10/2024 21:41:11,973] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[14/10/2024 21:41:14,397] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[14/10/2024 21:41:15,321] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin4], Params: []
[14/10/2024 21:41:23,078] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_server_updates], Params: []
[14/10/2024 21:41:27,599] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[14/10/2024 21:41:29,689] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_list_spawns], Params: []
[14/10/2024 21:41:31,024] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[14/10/2024 21:41:33,631] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin4], Params: []
[14/10/2024 21:41:39,014] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:41:44,774] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[14/10/2024 21:41:48,923] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin2], Params: []
[14/10/2024 21:41:49,779] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin3], Params: []
[14/10/2024 21:41:50,313] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin4], Params: []
[14/10/2024 21:41:52,623] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:41:54,508] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:41:56,347] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:41:58,028] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:41:59,636] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin4], Params: []
[14/10/2024 21:44:09,962] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[14/10/2024 21:44:12,888] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin4], Params: []
[14/10/2024 21:44:14,731] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin5], Params: []
[14/10/2024 21:44:16,051] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin3], Params: []
[14/10/2024 21:44:17,032] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin2], Params: []
[14/10/2024 21:44:18,549] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[14/10/2024 21:44:39,473] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin2], Params: []
[14/10/2024 21:44:41,274] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin3], Params: []
[14/10/2024 21:44:45,020] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin4], Params: []
[14/10/2024 21:44:46,764] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:44:50,317] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:44:59,411] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:52:26,879] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:52:31,707] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:52:32,809] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:52:33,619] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:52:34,627] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:52:35,846] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:52:37,159] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:52:38,848] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:52:41,270] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:52:43,650] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:52:45,404] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:52:48,192] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:52:49,838] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
[14/10/2024 21:52:51,232] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_zone_check], Params: []
