[04/02/2020 20:47:58,448] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[04/02/2020 20:48:04,914] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_find_character], Params: []
[04/02/2020 20:48:06,316] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_character_info], Params: [ Jager]
[04/02/2020 20:48:10,815] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_show_skills], Params: []
[04/02/2020 20:48:12,928] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_skill_list], Params: []
[04/02/2020 20:48:20,355] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_help], Params: [ skills/Elf/elf.htm]
[04/02/2020 20:48:25,793] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_help], Params: [ skills/Elf/E_EvasTemplar.htm]
[04/02/2020 20:48:31,047] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_show_skills], Params: []
[04/02/2020 20:48:33,702] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_skill_list], Params: []
[04/02/2020 20:48:41,836] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_help], Params: [ skills/Elf/elf.htm]
[04/02/2020 20:48:46,292] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_help], Params: [ skills/Elf/E_TempleKnight.htm]
[04/02/2020 20:48:57,652] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_skill_index], Params: [ Elf/E_TempleKnight2]
[04/02/2020 20:49:07,881] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_skill_index], Params: [ Elf/E_TempleKnight3]
[04/02/2020 20:49:14,699] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_skill_index], Params: [ Elf/E_TempleKnight4]
[04/02/2020 20:49:20,490] '---': GM: Jager(268477835), Target: [Jager], Command: [admin_add_skill], Params: [ 67 7]
