[29/02/2020 00:12:29,448] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[29/02/2020 00:12:30,684] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin2], Params: []
[29/02/2020 00:12:31,629] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_show_characters], Params: [ 0]
[29/02/2020 00:12:32,898] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_character_info], Params: [ Arcane]
[29/02/2020 00:12:37,089] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_edit_character], Params: []
[29/02/2020 00:12:42,135] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_changelvl], Params: [ 8]
[29/02/2020 00:21:44,911] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_admin], Params: []
[29/02/2020 00:21:48,791] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_admin4], Params: []
[29/02/2020 00:21:56,108] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_fight_calculator_show], Params: []
[29/02/2020 00:30:52,626] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[29/02/2020 00:30:53,820] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin4], Params: []
[29/02/2020 00:30:57,517] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin3], Params: []
[29/02/2020 00:31:01,211] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin5], Params: []
[29/02/2020 00:31:05,892] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin2], Params: []
[29/02/2020 00:31:10,992] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_mammon_find], Params: [ 2]
[29/02/2020 00:32:26,771] '---': GM: Arcane(268477770), Target: [Broadcasting Tower], Command: [admin_admin], Params: []
[29/02/2020 00:32:27,782] '---': GM: Arcane(268477770), Target: [Broadcasting Tower], Command: [admin_move_to], Params: []
[29/02/2020 00:32:29,113] '---': GM: Arcane(268477770), Target: [Broadcasting Tower], Command: [admin_help], Params: [ tele/towns.htm]
[29/02/2020 00:32:29,895] '---': GM: Arcane(268477770), Target: [Broadcasting Tower], Command: [admin_help], Params: [ tele/towns/giran.htm]
[29/02/2020 00:32:44,179] '---': GM: Arcane(268477770), Target: [Broadcasting Tower], Command: [admin_move_to], Params: [ 77528 148183 -3596]
[29/02/2020 00:34:09,869] '---': GM: Arcane(268477770), Target: [Pushkin], Command: [admin_admin], Params: []
[29/02/2020 00:34:11,102] '---': GM: Arcane(268477770), Target: [Pushkin], Command: [admin_admin4], Params: []
[29/02/2020 00:34:11,678] '---': GM: Arcane(268477770), Target: [Pushkin], Command: [admin_admin3], Params: []
[29/02/2020 00:34:12,357] '---': GM: Arcane(268477770), Target: [Pushkin], Command: [admin_admin2], Params: []
[29/02/2020 00:34:18,297] '---': GM: Arcane(268477770), Target: [Pushkin], Command: [admin_cw_info_menu], Params: []
[29/02/2020 00:34:22,792] '---': GM: Arcane(268477770), Target: [Pushkin], Command: [admin_cw_add], Params: [ 8190]
