[15/03/2020 10:19:32,264] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[15/03/2020 10:19:35,319] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_find_character], Params: []
[15/03/2020 10:19:36,531] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_character_info], Params: [ Kindred]
[15/03/2020 10:19:38,288] '---': GM: Jager(268477835), Target: [Kindred], Command: [admin_goto_char_menu], Params: [ Kindred]
[15/03/2020 10:19:46,176] '---': GM: Jager(268477835), Target: [Kindred], Command: [admin_add_exp_sp_to_character], Params: []
[15/03/2020 10:19:52,166] '---': GM: Jager(268477835), Target: [Kindred], Command: [admin_set_level], Params: [ 44]
[15/03/2020 10:20:48,322] '---': GM: Jager(268477835), Target: [Kindred], Command: [admin_setclass], Params: []
[15/03/2020 10:20:57,702] '---': GM: Jager(268477835), Target: [Kindred], Command: [admin_setclass], Params: [ 26]
[15/03/2020 10:26:41,989] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[15/03/2020 10:26:45,184] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_find_character], Params: []
[15/03/2020 10:26:46,795] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_character_info], Params: [ Kindred]
[15/03/2020 10:26:48,747] '---': GM: Jager(268477835), Target: [Kindred], Command: [admin_goto_char_menu], Params: [ Kindred]
[15/03/2020 10:27:01,599] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[15/03/2020 10:27:04,770] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Weapons.htm]
[15/03/2020 10:27:06,045] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/cgradew.htm]
[15/03/2020 10:27:08,900] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9020]
[15/03/2020 10:27:36,871] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[15/03/2020 10:27:39,745] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Armors.htm]
[15/03/2020 10:27:41,128] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/cgradea.htm]
[15/03/2020 10:27:45,793] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9081]
[15/03/2020 10:27:51,064] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[15/03/2020 10:27:54,592] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/sets.htm]
[15/03/2020 10:28:01,351] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshops.htm]
[15/03/2020 10:28:02,525] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Armors.htm]
[15/03/2020 10:28:03,659] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/cgradea.htm]
[15/03/2020 10:28:08,023] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9083]
[15/03/2020 10:28:36,193] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[15/03/2020 10:28:38,454] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Armors.htm]
[15/03/2020 10:28:39,626] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/cgradea.htm]
[15/03/2020 10:28:40,784] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9082]
[15/03/2020 10:29:20,361] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[15/03/2020 10:29:22,978] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Armors.htm]
[15/03/2020 10:29:24,130] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/cgradea.htm]
[15/03/2020 10:29:26,951] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9084]
[15/03/2020 10:29:41,893] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[15/03/2020 10:29:44,336] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Armors.htm]
[15/03/2020 10:29:45,361] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/cgradea.htm]
[15/03/2020 10:29:47,357] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9085]
[15/03/2020 10:30:18,074] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[15/03/2020 10:30:20,596] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Armors.htm]
[15/03/2020 10:30:22,257] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/cgradea.htm]
[15/03/2020 10:30:24,043] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9084]
[15/03/2020 10:30:26,832] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[15/03/2020 10:30:29,914] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/sets.htm]
[15/03/2020 10:30:31,708] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshops.htm]
[15/03/2020 10:30:32,523] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Armors.htm]
[15/03/2020 10:30:33,721] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/cgradea.htm]
[15/03/2020 10:30:35,910] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9086]
[15/03/2020 10:30:41,766] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[15/03/2020 10:30:43,090] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Armors.htm]
[15/03/2020 10:30:44,632] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/cgradea.htm]
[15/03/2020 10:30:45,644] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9081]
[15/03/2020 10:31:19,188] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[15/03/2020 10:31:20,553] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Jewels.htm]
[15/03/2020 10:31:21,712] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9110]
[15/03/2020 10:32:38,936] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[15/03/2020 10:32:41,674] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 300511]
[15/03/2020 10:34:54,233] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[15/03/2020 10:34:57,225] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/SpellBooks.htm]
[15/03/2020 10:34:58,365] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 300522]
[15/03/2020 10:35:57,073] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[15/03/2020 10:35:59,482] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/SpellBooks.htm]
[15/03/2020 10:36:01,220] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 300523]
[15/03/2020 10:38:14,457] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[15/03/2020 10:38:17,835] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/SpellBooks.htm]
[15/03/2020 10:38:19,360] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 300524]
[15/03/2020 10:40:38,855] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[15/03/2020 10:40:40,665] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/SpellBooks.htm]
[15/03/2020 10:40:42,108] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 300525]
[15/03/2020 10:41:11,936] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
