[14/03/2020 11:31:53,865] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[14/03/2020 11:31:55,661] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_ride_wyvern], Params: []
[14/03/2020 11:32:30,947] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[14/03/2020 11:32:32,538] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_ride_wyvern], Params: []
[14/03/2020 11:35:03,502] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[14/03/2020 11:35:05,928] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_jail], Params: []
[14/03/2020 11:35:07,602] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[14/03/2020 11:35:08,982] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_find_character], Params: []
[14/03/2020 11:35:10,426] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_character_info], Params: [ Anvil]
[14/03/2020 11:35:13,501] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_recall_char_menu], Params: [ Anvil]
[14/03/2020 11:35:16,407] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin2], Params: []
[14/03/2020 11:35:18,165] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[14/03/2020 11:35:19,567] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_find_character], Params: []
[14/03/2020 11:35:21,451] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_character_info], Params: [ Spartacus]
[14/03/2020 11:35:25,448] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_recall_char_menu], Params: [ Spartacus]
[14/03/2020 11:41:17,658] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[14/03/2020 11:41:23,201] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_find_character], Params: []
[14/03/2020 11:41:25,103] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_character_info], Params: [ FortuneTeller]
[14/03/2020 11:41:28,493] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_recall_char_menu], Params: [ FortuneTeller]
[14/03/2020 11:41:30,082] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[14/03/2020 11:41:31,527] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_find_character], Params: []
[14/03/2020 11:41:34,059] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_character_info], Params: [ Sorceres]
[14/03/2020 11:41:36,781] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_recall_char_menu], Params: [ Sorceres]
[14/03/2020 11:42:40,727] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[14/03/2020 11:42:43,281] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 300511]
[14/03/2020 11:59:10,774] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[14/03/2020 11:59:16,382] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_find_character], Params: []
[14/03/2020 11:59:19,586] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_character_info], Params: [ Hayha]
[14/03/2020 11:59:22,474] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_goto_char_menu], Params: [ Hayha]
[14/03/2020 11:59:59,276] '---': GM: Jager(268477835), Target: [Hayha], Command: [admin_add_exp_sp_to_character], Params: []
[14/03/2020 12:00:06,180] '---': GM: Jager(268477835), Target: [Hayha], Command: [admin_set_level], Params: [ 19]
[14/03/2020 12:00:14,469] '---': GM: Jager(268477835), Target: [Hayha], Command: [admin_add_exp_sp_to_character], Params: []
[14/03/2020 12:00:26,941] '---': GM: Jager(268477835), Target: [Hayha], Command: [admin_add_exp_sp], Params: [ 100000 10000]
[14/03/2020 12:00:42,689] '---': GM: Jager(268477835), Target: [Hayha], Command: [admin_add_exp_sp], Params: [ 20000 2000]
[14/03/2020 12:00:57,173] '---': GM: Jager(268477835), Target: [Hayha], Command: [admin_add_exp_sp], Params: [ 20000 2000]
[14/03/2020 12:01:12,556] '---': GM: Jager(268477835), Target: [Hayha], Command: [admin_add_exp_sp_to_character], Params: []
[14/03/2020 12:01:49,730] '---': GM: Jager(268477835), Target: [Hayha], Command: [admin_add_exp_sp], Params: [ 15000 1000]
[14/03/2020 12:02:45,151] '---': GM: Jager(268477835), Target: [Hayha], Command: [admin_add_exp_sp], Params: [ 3000 300]
[14/03/2020 12:03:06,051] '---': GM: Jager(268477835), Target: [Hayha], Command: [admin_add_exp_sp], Params: [ 1000 100]
[14/03/2020 12:03:27,241] '---': GM: Jager(268477835), Target: [Hayha], Command: [admin_add_exp_sp], Params: [ 300 30]
[14/03/2020 12:03:41,380] '---': GM: Jager(268477835), Target: [Hayha], Command: [admin_add_exp_sp], Params: [ 300 1]
[14/03/2020 12:03:50,018] '---': GM: Jager(268477835), Target: [Hayha], Command: [admin_add_exp_sp], Params: [ 200 2]
[14/03/2020 12:05:15,494] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[14/03/2020 12:05:24,889] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Weapons.htm]
[14/03/2020 12:05:27,316] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/dgradew.htm]
[14/03/2020 12:05:29,766] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9013]
[14/03/2020 12:06:19,462] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[14/03/2020 12:06:20,822] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Armors.htm]
[14/03/2020 12:06:23,080] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/dgradea.htm]
[14/03/2020 12:06:24,210] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9090]
[14/03/2020 12:06:34,671] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[14/03/2020 12:06:36,136] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Armors.htm]
[14/03/2020 12:06:37,224] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/dgradea.htm]
[14/03/2020 12:06:38,103] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9091]
[14/03/2020 12:07:11,670] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[14/03/2020 12:07:13,218] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Armors.htm]
[14/03/2020 12:07:13,888] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/dgradea.htm]
[14/03/2020 12:07:16,755] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9092]
[14/03/2020 12:07:27,197] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[14/03/2020 12:07:35,020] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[14/03/2020 12:07:39,727] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 71021]
[14/03/2020 12:08:37,441] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[14/03/2020 12:08:39,345] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 71024]
[14/03/2020 12:08:43,383] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[14/03/2020 12:08:47,587] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 71029]
[14/03/2020 12:08:59,995] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[14/03/2020 12:09:09,120] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 71031]
[14/03/2020 12:09:47,183] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[14/03/2020 12:09:48,668] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_help], Params: [ gmshop/Jewels.htm]
[14/03/2020 12:09:50,762] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 9109]
[14/03/2020 12:10:38,374] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_admin], Params: []
[14/03/2020 12:10:49,481] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[14/03/2020 12:10:52,055] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 300511]
[14/03/2020 12:11:01,932] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_gmshop], Params: []
[14/03/2020 12:11:07,770] '---': GM: Jager(268477835), Target: [no-target], Command: [admin_buy], Params: [ 3001]
[14/03/2020 12:11:29,285] '---': GM: Jager(268477835), Target: [Hayha], Command: [admin_add_exp_sp_to_character], Params: []
[14/03/2020 12:11:37,070] '---': GM: Jager(268477835), Target: [Hayha], Command: [admin_set_level], Params: [ 39]
[14/03/2020 12:13:25,501] '---': GM: Jager(268477835), Target: [Hayha], Command: [admin_admin], Params: []
[14/03/2020 12:13:28,159] '---': GM: Jager(268477835), Target: [Hayha], Command: [admin_enchant], Params: []
[14/03/2020 12:13:32,928] '---': GM: Jager(268477835), Target: [Hayha], Command: [admin_seteh], Params: [ 15]
