[18/02/2020 21:21:51,805] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_siege], Params: []
[18/02/2020 21:21:53,823] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_siege], Params: [ Aden]
[18/02/2020 21:22:00,999] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_setcastle], Params: [ Aden]
[18/02/2020 21:22:09,768] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_admin], Params: []
[18/02/2020 21:22:11,577] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_admin2], Params: []
[18/02/2020 21:22:12,933] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_admin], Params: []
[18/02/2020 21:22:13,797] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_move_to], Params: []
[18/02/2020 21:22:14,769] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_help], Params: [ tele/towns.htm]
[18/02/2020 21:22:16,065] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_help], Params: [ tele/towns/aden.htm]
[18/02/2020 21:22:16,848] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_move_to], Params: [ 147422 27393 -2208]
[18/02/2020 21:23:39,358] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[18/02/2020 21:23:41,415] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_ride_wyvern], Params: []
[18/02/2020 21:24:09,475] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[18/02/2020 21:26:25,788] '---': GM: Arcane(268477770), Target: [Arena Director], Command: [admin_admin], Params: []
[18/02/2020 21:26:26,777] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_ride_wyvern], Params: []
[18/02/2020 21:26:51,943] '---': GM: Arcane(268477770), Target: [null], Command: [admin_admin], Params: []
[18/02/2020 21:26:54,610] '---': GM: Arcane(268477770), Target: [null], Command: [admin_open], Params: []
[18/02/2020 21:26:57,591] '---': GM: Arcane(268477770), Target: [null], Command: [admin_admin], Params: []
[18/02/2020 21:26:58,967] '---': GM: Arcane(268477770), Target: [null], Command: [admin_close], Params: []
[18/02/2020 21:27:08,422] '---': GM: Arcane(268477770), Target: [null], Command: [admin_admin], Params: []
[18/02/2020 21:27:09,922] '---': GM: Arcane(268477770), Target: [null], Command: [admin_open], Params: []
[18/02/2020 21:27:20,249] '---': GM: Arcane(268477770), Target: [null], Command: [admin_admin], Params: []
[18/02/2020 21:27:21,728] '---': GM: Arcane(268477770), Target: [null], Command: [admin_close], Params: []
[18/02/2020 21:27:48,667] '---': GM: Arcane(268477770), Target: [null], Command: [admin_admin], Params: []
[18/02/2020 21:27:50,208] '---': GM: Arcane(268477770), Target: [null], Command: [admin_open], Params: []
[18/02/2020 21:27:53,425] '---': GM: Arcane(268477770), Target: [null], Command: [admin_admin], Params: []
[18/02/2020 21:27:55,151] '---': GM: Arcane(268477770), Target: [null], Command: [admin_admin2], Params: []
[18/02/2020 21:27:58,683] '---': GM: Arcane(268477770), Target: [null], Command: [admin_fortsiege], Params: []
[18/02/2020 21:28:17,388] '---': GM: Arcane(268477770), Target: [null], Command: [admin_fortsiege], Params: [ Narsell]
[18/02/2020 21:28:23,700] '---': GM: Arcane(268477770), Target: [null], Command: [admin_setfort], Params: [ Narsell]
[18/02/2020 21:28:28,077] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_setfort], Params: [ Narsell]
[18/02/2020 21:29:07,425] '---': GM: Arcane(268477770), Target: [null], Command: [admin_admin], Params: []
[18/02/2020 21:29:10,080] '---': GM: Arcane(268477770), Target: [null], Command: [admin_close], Params: []
[18/02/2020 21:30:17,617] '---': GM: Arcane(268477770), Target: [null], Command: [admin_admin], Params: []
[18/02/2020 21:30:19,113] '---': GM: Arcane(268477770), Target: [null], Command: [admin_admin2], Params: []
[18/02/2020 21:30:23,998] '---': GM: Arcane(268477770), Target: [null], Command: [admin_fortsiege], Params: []
[18/02/2020 21:30:25,480] '---': GM: Arcane(268477770), Target: [null], Command: [admin_fortsiege], Params: [ Narsell]
[18/02/2020 21:30:42,561] '---': GM: Arcane(268477770), Target: [null], Command: [admin_add_guard], Params: [ Narsell 1]
[18/02/2020 21:30:51,553] '---': GM: Arcane(268477770), Target: [null], Command: [admin_siege], Params: [ Aden]
[18/02/2020 21:31:16,969] '---': GM: Arcane(268477770), Target: [null], Command: [admin_admin], Params: []
[18/02/2020 21:31:19,759] '---': GM: Arcane(268477770), Target: [null], Command: [admin_ride_wyvern], Params: []
[18/02/2020 21:36:00,561] '---': GM: Arcane(268477770), Target: [null], Command: [admin_admin], Params: []
[18/02/2020 21:36:02,965] '---': GM: Arcane(268477770), Target: [null], Command: [admin_open], Params: []
[18/02/2020 21:36:06,461] '---': GM: Arcane(268477770), Target: [null], Command: [admin_admin], Params: []
[18/02/2020 21:36:07,779] '---': GM: Arcane(268477770), Target: [null], Command: [admin_close], Params: []
[18/02/2020 21:37:24,895] '---': GM: Arcane(268477770), Target: [null], Command: [admin_admin], Params: []
[18/02/2020 21:37:26,762] '---': GM: Arcane(268477770), Target: [null], Command: [admin_open], Params: []
[18/02/2020 21:37:29,381] '---': GM: Arcane(268477770), Target: [null], Command: [admin_admin], Params: []
[18/02/2020 21:37:31,297] '---': GM: Arcane(268477770), Target: [null], Command: [admin_close], Params: []
[18/02/2020 21:37:47,100] '---': GM: Arcane(268477770), Target: [null], Command: [admin_admin], Params: []
[18/02/2020 21:37:49,424] '---': GM: Arcane(268477770), Target: [null], Command: [admin_ride_wyvern], Params: []
[18/02/2020 21:39:35,320] '---': GM: Arcane(268477770), Target: [Crimson Drake], Command: [admin_admin], Params: []
[18/02/2020 21:41:19,342] '---': GM: Arcane(268477770), Target: [Crimson Drake], Command: [admin_admin], Params: []
[18/02/2020 21:41:20,530] '---': GM: Arcane(268477770), Target: [Crimson Drake], Command: [admin_create_item], Params: []
[18/02/2020 21:41:23,155] '---': GM: Arcane(268477770), Target: [Crimson Drake], Command: [admin_searchitem], Params: []
[18/02/2020 21:41:26,278] '---': GM: Arcane(268477770), Target: [Crimson Drake], Command: [admin_searchitem], Params: [ ; arcana ;0]
[18/02/2020 21:41:31,186] '---': GM: Arcane(268477770), Target: [Crimson Drake], Command: [admin_createForm], Params: [ 6608]
[18/02/2020 21:41:33,017] '---': GM: Arcane(268477770), Target: [Crimson Drake], Command: [admin_create_item], Params: [ 6608 1]
[18/02/2020 21:45:31,802] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_admin], Params: []
[18/02/2020 21:45:40,830] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_admin2], Params: []
[18/02/2020 21:45:46,175] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_siege], Params: []
[18/02/2020 21:45:47,961] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_siege], Params: [ Aden]
[18/02/2020 21:45:50,308] '---': GM: Arcane(268477770), Target: [Arcane], Command: [admin_setcastle], Params: [ Aden]
[18/02/2020 21:47:19,613] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[18/02/2020 21:47:22,143] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_invul], Params: []
[18/02/2020 21:47:33,446] '---': GM: Arcane(268477770), Target: [Bloody Empress Decarbia], Command: [admin_show_droplist], Params: [ 25266]
[18/02/2020 21:47:55,817] '---': GM: Arcane(268477770), Target: [Bloody Empress Decarbia], Command: [admin_admin], Params: []
[18/02/2020 21:47:57,320] '---': GM: Arcane(268477770), Target: [Bloody Empress Decarbia], Command: [admin_admin2], Params: []
[18/02/2020 21:47:58,082] '---': GM: Arcane(268477770), Target: [Bloody Empress Decarbia], Command: [admin_admin], Params: []
[18/02/2020 21:47:59,049] '---': GM: Arcane(268477770), Target: [Bloody Empress Decarbia], Command: [admin_move_to], Params: []
[18/02/2020 21:47:59,949] '---': GM: Arcane(268477770), Target: [Bloody Empress Decarbia], Command: [admin_help], Params: [ tele/towns.htm]
[18/02/2020 21:48:01,076] '---': GM: Arcane(268477770), Target: [Bloody Empress Decarbia], Command: [admin_help], Params: [ tele/towns/aden.htm]
[18/02/2020 21:48:01,920] '---': GM: Arcane(268477770), Target: [Bloody Empress Decarbia], Command: [admin_move_to], Params: [ 147422 27393 -2208]
[18/02/2020 21:48:19,465] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_admin], Params: []
[18/02/2020 21:48:21,048] '---': GM: Arcane(268477770), Target: [no-target], Command: [admin_move_to], Params: []
